이름,일본이름,생년월일,신장(cm),사이즈,가슴사이즈,데뷔일
카미키 레이,神木麗,생년월일 : 1999-12-20 (25세),신장 : 169 cm,신체사이즈 : B95 / W60 / H85,컵사이즈 : G 컵,데뷔 : 22년 04월 데뷔
이시카와 미오,石川澪,생년월일 : 2002-03-20 (22세),신장 : 158 cm,신체사이즈 : B82 / W58 / H86,컵사이즈 : B 컵,데뷔 : 21년 10월 데뷔
이치노 아오이,一乃あおい,생년월일 : 1989-09-16 (35세),신장 : 165 cm,신체사이즈 : B93 / W59 / H90,컵사이즈 : G 컵,데뷔 : 22년 03월 데뷔
카와키타 사이카,河北彩花,생년월일 : 1999-04-24 (25세),신장 : 169 cm,신체사이즈 : B88 / W59 / H89,컵사이즈 : E 컵,데뷔 : 18년 04월 데뷔
스즈무라 아이리,鈴村あいり,생년월일 : 1993-09-24 (31세),신장 : 152 cm,신체사이즈 : B82 / W53 / H80,컵사이즈 : D 컵,데뷔 : 13년 02월 데뷔
아오이 이부키,葵いぶき,생년월일 : 2001-05-18 (23세),신장 : 162 cm,신체사이즈 : B80 / W59 / H90,컵사이즈 : G 컵,데뷔 : 20년 07월 데뷔
스즈모리 레무,涼森れむ,생년월일 : 1997-12-03 (27세),신장 : 160 cm,신체사이즈 : B87 / W58 / H85,컵사이즈 : D 컵,데뷔 : 19년 03월 데뷔
츠바사 마이,つばさ舞,생년월일 : 1999-05-08 (25세),신장 : 165 cm,신체사이즈 : B90 / W58 / H88,컵사이즈 : G 컵,데뷔 : 21년 12월 데뷔
아이자와 미나미,相沢みなみ,생년월일 : 1996-06-14 (28세),신장 : 155 cm,신체사이즈 : B80 / W54 / H82,컵사이즈 : C 컵,데뷔 : 16년 09월 데뷔
아오조라 히카리,青空ひかり,생년월일 : 1999-01-08 (25세),신장 : 153 cm,신체사이즈 : B85 / W58 / H83,컵사이즈 : D 컵,데뷔 : 19년 10월 데뷔
하시모토 아리나,橋本ありな,생년월일 : 1996-12-15 (28세),신장 : 167 cm,신체사이즈 : B84 / W56 / H83,컵사이즈 : C 컵,데뷔 : 16년 03월 데뷔
